grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Les Marches du Pouvoir,109,Drame,502866,5,2A,Amerique du Nord,Etats-Unis,George Clooney,"3,3",3,"3,3",3
The Company Men,198,Drame,158860,5,2A,Amerique du Nord,Etats-Unis,John Wells,"3,3",3,"3,3",3
L'Irlandais,212,Comédie,126068,5,1A,Europe,Irlande,John Michael McDonagh,"3,4",3,"3,3",3
Rabbit Hole,262,Drame,62247,5,2A,Amerique du Nord,Etats-Unis,John Cameron Mitchell,"3,4",3,"3,3",3
Il était une fois en Anatolie,208,Thriller,137720,2,3A,Asie,Turquie,Nuri Bilge Ceylan,"3,7",3,"3,3",3
La Grotte des rêves perdus,216,Documentaire,110891,5,6A,France,France,Werner Herzog,"4,1",4,"3,3",3
Transformers 3 - La Face cachée de la Lune,14,Science Fiction,2622932,5,5A,Amerique du Nord,Etats-Unis,Michael Bay,"2,4",2,"3,4",3
Le Fils à Jo,43,Comédie,1238549,5,1A,France,France,Philippe Guillard,"2,4",2,"3,4",3
Sexe entre amis,102,Comédie,539953,5,1A,Amerique du Nord,Etats-Unis,Will Gluck,"2,5",2,"3,4",3
Cars 2,11,Animation 3D,2975790,5,4A,Amerique du Nord,Etats-Unis,"Brad Lewis, John Lasseter","2,6",2,"3,4",3
Tron l'héritage,44,Science Fiction,1215956,5,5A,Amerique du Nord,Etats-Unis,Joseph Kosinski,"2,7",2,"3,4",3
L'Assaut,107,Thriller,515936,5,3A,France,France,Julien Leclercq,"2,8",2,"3,4",3
Paul,77,Comédie,728947,5,1A,Europe,Grande-Bretagne,Greg Mottola,"2,9",2,"3,4",3
L'Affaire Rachel Singer,196,Thriller,163431,5,3A,Amerique du Nord,Etats-Unis,John Madden,"2,9",2,"3,4",3
Le Chat Potté,6,Animation 3D,3794833,5,4A,Amerique du Nord,Etats-Unis,Chris Miller,3,3,"3,4",3
Thor,29,Comicbook,1714453,5,4A,Amerique du Nord,Etats-Unis,Kenneth Branagh,3,3,"3,4",3
Sucker Punch,96,Fantasy,572491,5,5A,Amerique du Nord,Etats-Unis,Zack Snyder,3,3,"3,4",3
Le Complexe du Castor,183,Comédie dramatique,188966,4,1A,Amerique du Nord,Etats-Unis,Jodie Foster,"3,2",3,"3,4",3
L'Ordre et la morale,200,Drame,151870,5,2A,France,France,Mathieu Kassovitz,"3,2",3,"3,4",3
This Must Be the Place,201,Drame,147496,3,2A,France,France,Paolo Sorrentino,"3,2",3,"3,4",3
Angèle et Tony,168,Drame,225273,5,2A,France,France,Alix Delaporte,"3,3",3,"3,4",3
Rango,42,Animation 3D,1259125,5,4A,Amerique du Nord,Etats-Unis,Gore Verbinski,"3,4",3,"3,4",3
Poupoupidou,184,Comédie,188361,5,1A,France,France,Gérald Hustache-Mathieu,"3,4",3,"3,4",3
Carnage,118,Comédie dramatique,437278,5,1A,France,France,Roman Polanski,"3,5",3,"3,4",3
Beginners,178,Drame,199559,5,2A,Amerique du Nord,Etats-Unis,Mike Mills,"3,5",3,"3,4",3
Le Chat du rabbin,110,Animation,500764,5,4A,France,France,"Joann Sfar, Antoine Delesvaux","3,6",3,"3,4",3
Les Contes de la nuit,131,Animation,341453,5,4A,France,France,Michel Ocelot,"3,7",3,"3,4",3
Les Bien-aimés,153,Comédie dramatique,250588,4,1A,France,France,Christophe Honoré,"3,7",3,"3,4",3
Habemus Papam,74,Comédie dramatique,743889,3,1A,Europe,Italie,Nanni Moretti,4,4,"3,4",3
Shame,119,Drame,435987,5,2A,Europe,Grande-Bretagne,Steve McQueen (II),4,4,"3,4",3
Winter's Bone,215,Drame,113970,5,2A,Amerique du Nord,Etats-Unis,Debra Granik,4,4,"3,4",3
Melancholia,121,Science Fiction,409246,2,5A,Europe,Danemark,Lars von Trier,"4,1",4,"3,4",3
Le Gamin au vélo,104,Comédie dramatique,529462,2,1A,France,France,"Jean-Pierre Dardenne, Luc Dardenne","4,2",4,"3,4",3
Very Bad Trip 2,17,Comédie,2505081,5,1A,Amerique du Nord,Etats-Unis,Todd Phillips,"2,3",2,"3,5",3
Alvin et les Chipmunks 3,20,Comédie familiale,2402124,5,1A,Amerique du Nord,Etats-Unis,Mike Mitchell,"2,3",2,"3,5",3
La Délicatesse,71,Romance,770368,5,1A,France,France,"David Foenkinos, Stéphane Foenkinos","2,4",2,"3,5",3
Oh My God !,265,Romance,59549,5,1A,Europe,Grande-Bretagne,Tanya Wexler,"2,5",2,"3,5",3
Les Adoptés,190,Comédie dramatique,174167,5,1A,France,France,Mélanie Laurent,"2,9",2,"3,5",3
Bonobos,249,Documentaire,76081,5,6A,France,France,Alain Tixier,"2,9",2,"3,5",3
Un heureux événement,114,Comédie,461682,5,1A,France,France,Rémi Bezançon,3,3,"3,5",3
La Proie (2011),128,Thriller,350547,5,3A,France,France,Eric Valette,3,3,"3,5",3
Nicostratos le pélican,236,Comédie,90802,5,1A,France,France,Olivier Horlait,3,3,"3,5",3
Les Chemins de la liberté,63,Drame,860353,5,2A,Amerique du Nord,Etats-Unis,Peter Weir,"3,1",3,"3,5",3
Le Marchand de sable,238,Animation,88231,5,4A,Europe,Allemagne,"Sinem Sakaoðlu, Jesper Møller","3,2",3,"3,5",3
Source Code,80,Science Fiction,710729,5,5A,Amerique du Nord,Etats-Unis,Duncan Jones,"3,3",3,"3,5",3
Malveillance,227,Thriller,103217,5,3A,Europe,Espagne,Jaume Balagueró,"3,4",3,"3,5",3
Super 8,33,Science Fiction,1506877,5,5A,Amerique du Nord,Etats-Unis,J.J. Abrams,"3,8",3,"3,5",3
L'Exercice de l'Etat,105,Drame,521783,5,2A,France,France,Pierre Schoeller,4,4,"3,5",3
Le Stratège,217,Drame,109979,5,2A,Amerique du Nord,Etats-Unis,Bennett Miller,4,4,"3,5",3
Animal Kingdom,220,Drame,107145,5,2A,Oceanie,Australie,David Michôd,4,4,"3,5",3
La Source des femmes,92,Comédie dramatique,614461,3,1A,France,France,Radu Mihaileanu,"2,4",2,"3,6",3
La Fille du puisatier,38,Drame,1401319,5,2A,France,France,Daniel Auteuil,"2,8",2,"3,6",3
Les Lyonnais,45,Thriller,1208076,5,3A,France,France,Olivier Marchal,"2,8",2,"3,6",3
Tous les soleils,94,Comédie dramatique,579084,5,1A,France,France,Philippe Claudel,"2,9",2,"3,6",3
Limitless,61,Thriller,877210,5,3A,Amerique du Nord,Etats-Unis,Neil Burger,3,3,"3,6",3
"Crazy, Stupid, Love",103,Comédie,530606,5,1A,Amerique du Nord,Etats-Unis,"John Requa, Glenn Ficarra",3,3,"3,6",3
Mission: Noël Les aventures de la famille Noël,64,Animation 3D,840666,5,4A,Amerique du Nord,Etats-Unis,Sarah Smith,"3,1",3,"3,6",3
127 heures,129,Aventure - Action,350268,5,3A,Amerique du Nord,Etats-Unis,Danny Boyle,"3,2",3,"3,6",3
La Défense Lincoln,152,Drame,251039,5,2A,Amerique du Nord,Etats-Unis,Brad Furman,"3,3",3,"3,6",3
Kung Fu Panda 2,13,Animation 3D,2646097,5,4A,Amerique du Nord,Etats-Unis,Jennifer Yuh,"3,4",3,"3,6",3
Les Femmes du 6e étage,23,Comédie,2213187,5,1A,France,France,Philippe Le Guay,"3,4",3,"3,6",3
